"","variable","activity","subject","mean"
"90","tBodyGyro-std-Z","LAYING","2",-0.960306560416667
"91","tBodyGyroJerk-mean-X","LAYING","2",-0.101974134208333
"92","tBodyGyroJerk-mean-Y","LAYING","2",-0.0358590176083333
"93","tBodyGyroJerk-mean-Z","LAYING","2",-0.0701783020833333
"94","tBodyGyroJerk-std-X","LAYING","2",-0.993235849166667
"95","tBodyGyroJerk-std-Y","LAYING","2",-0.989567537916667
"96","tBodyGyroJerk-std-Z","LAYING","2",-0.98803582125
"97","tBodyAccMag-mean","LAYING","2",-0.977435485208333
"98","tBodyAccMag-std","LAYING","2",-0.972873912916667
"99","tGravityAccMag-mean","LAYING","2",-0.977435485208333
"100","tGravityAccMag-std","LAYING","2",-0.972873912916667
"101","tBodyAccJerkMag-mean","LAYING","2",-0.987741696041667
"102","tBodyAccJerkMag-std","LAYING","2",-0.98551807625
"103","tBodyGyroMag-mean","LAYING","2",-0.950011569583333
"104","tBodyGyroMag-std","LAYING","2",-0.961164053958333
"105","tBodyGyroJerkMag-mean","LAYING","2",-0.991767074166667
"106","tBodyGyroJerkMag-std","LAYING","2",-0.989718095208333
"107","fBodyAcc-mean-X","LAYING","2",-0.976725059791667
"108","fBodyAcc-mean-Y","LAYING","2",-0.979800877916667
"109","fBodyAcc-mean-Z","LAYING","2",-0.984380981875
"110","fBodyAcc-std-X","LAYING","2",-0.973246482083333
"111","fBodyAcc-std-Y","LAYING","2",-0.981025105625
"112","fBodyAcc-std-Z","LAYING","2",-0.984792185
"113","fBodyAccJerk-mean-X","LAYING","2",-0.985813630833333
"114","fBodyAccJerk-mean-Y","LAYING","2",-0.982768250416667
"115","fBodyAccJerk-mean-Z","LAYING","2",-0.986197134583333
"116","fBodyAccJerk-std-X","LAYING","2",-0.987250255833333
"117","fBodyAccJerk-std-Y","LAYING","2",-0.984987392916667
"118","fBodyAccJerk-std-Z","LAYING","2",-0.989345368541667
"119","fBodyGyro-mean-X","LAYING","2",-0.9864311425
"120","fBodyGyro-mean-Y","LAYING","2",-0.983321635416667
"121","fBodyGyro-mean-Z","LAYING","2",-0.9626718875
"122","fBodyGyro-std-X","LAYING","2",-0.988860685833333
"123","fBodyGyro-std-Y","LAYING","2",-0.981910616458333
"124","fBodyGyro-std-Z","LAYING","2",-0.963174222291667
"125","fBodyAccMag-mean","LAYING","2",-0.975110196458333
"126","fBodyAccMag-std","LAYING","2",-0.975121387916667
"127","fBodyBodyAccJerkMag-mean","LAYING","2",-0.985374114791667
"128","fBodyBodyAccJerkMag-std","LAYING","2",-0.984568489166667
"129","fBodyBodyGyroMag-mean","LAYING","2",-0.972112972708333
"130","fBodyBodyGyroMag-std","LAYING","2",-0.96109837875
"131","fBodyBodyGyroJerkMag-mean","LAYING","2",-0.990248702291667
"132","fBodyBodyGyroJerkMag-std","LAYING","2",-0.989492660416667
"133","tBodyAcc-mean-X","LAYING","3",0.275516852741935
"134","tBodyAcc-mean-Y","LAYING","3",-0.0189556785048387
"135","tBodyAcc-mean-Z","LAYING","3",-0.101300477506452
"136","tBodyAcc-std-X","LAYING","3",-0.982776639193548
"137","tBodyAcc-std-Y","LAYING","3",-0.962057544516129
"138","tBodyAcc-std-Z","LAYING","3",-0.96369103483871
"139","tGravityAcc-mean-X","LAYING","3",-0.241758478064516
"140","tGravityAcc-mean-Y","LAYING","3",0.837032099677419
"141","tGravityAcc-mean-Z","LAYING","3",0.48870318516129
"142","tGravityAcc-std-X","LAYING","3",-0.982512193064516
"143","tGravityAcc-std-Y","LAYING","3",-0.981202749677419
"144","tGravityAcc-std-Z","LAYING","3",-0.964807543870968
"145","tBodyAccJerk-mean-X","LAYING","3",0.0769811125806452
"146","tBodyAccJerk-mean-Y","LAYING","3",0.0138041011306452
"147","tBodyAccJerk-mean-Z","LAYING","3",-0.00435625874355645
"148","tBodyAccJerk-std-X","LAYING","3",-0.98087931483871
"149","tBodyAccJerk-std-Y","LAYING","3",-0.968710724677419
"150","tBodyAccJerk-std-Z","LAYING","3",-0.982093162903226
"151","tBodyGyro-mean-X","LAYING","3",-0.0208170540330645
"152","tBodyGyro-mean-Y","LAYING","3",-0.0718507159435484
"153","tBodyGyro-mean-Z","LAYING","3",0.137999561112903
"154","tBodyGyro-std-X","LAYING","3",-0.974545752096774
"155","tBodyGyro-std-Y","LAYING","3",-0.977272653709677
"156","tBodyGyro-std-Z","LAYING","3",-0.963505609032258
"157","tBodyGyroJerk-mean-X","LAYING","3",-0.10004449883871
"158","tBodyGyroJerk-mean-Y","LAYING","3",-0.0389771765322581
"159","tBodyGyroJerk-mean-Z","LAYING","3",-0.06873387
"160","tBodyGyroJerk-std-X","LAYING","3",-0.980328645
"161","tBodyGyroJerk-std-Y","LAYING","3",-0.986762741935484
"162","tBodyGyroJerk-std-Z","LAYING","3",-0.983338279516129
"163","tBodyAccMag-mean","LAYING","3",-0.972791346129032
"164","tBodyAccMag-std","LAYING","3",-0.964218176451613
"165","tGravityAccMag-mean","LAYING","3",-0.972791346129032
"166","tGravityAccMag-std","LAYING","3",-0.964218176451613
"167","tBodyAccJerkMag-mean","LAYING","3",-0.979484593387097
"168","tBodyAccJerkMag-std","LAYING","3",-0.976121297903226
"169","tBodyGyroMag-mean","LAYING","3",-0.951564751451613
"170","tBodyGyroMag-std","LAYING","3",-0.954275110967742
"171","tBodyGyroJerkMag-mean","LAYING","3",-0.98671362516129
"172","tBodyGyroJerkMag-std","LAYING","3",-0.983139255645161
"173","fBodyAcc-mean-X","LAYING","3",-0.980665609032258
"174","fBodyAcc-mean-Y","LAYING","3",-0.961169982903226
"175","fBodyAcc-mean-Z","LAYING","3",-0.968332141612903
"176","fBodyAcc-std-X","LAYING","3",-0.983691129032258
"177","fBodyAcc-std-Y","LAYING","3",-0.964094604193548
"178","fBodyAcc-std-Z","LAYING","3",-0.96327908016129
"179","fBodyAccJerk-mean-X","LAYING","3",-0.980513202258064
"180","fBodyAccJerk-mean-Y","LAYING","3",-0.968752113709677
"181","fBodyAccJerk-mean-Z","LAYING","3",-0.979122344354839
"182","fBodyAccJerk-std-X","LAYING","3",-0.983122615967742
"183","fBodyAccJerk-std-Y","LAYING","3",-0.971044012741936
"184","fBodyAccJerk-std-Z","LAYING","3",-0.983711904677419
"185","fBodyGyro-mean-X","LAYING","3",-0.970167262903226
"186","fBodyGyro-mean-Y","LAYING","3",-0.978099682258065
"187","fBodyGyro-mean-Z","LAYING","3",-0.962341960806452
"188","fBodyGyro-std-X","LAYING","3",-0.975986433709677
"189","fBodyGyro-std-Y","LAYING","3",-0.977032495483871
"190","fBodyGyro-std-Z","LAYING","3",-0.967256854193548
"191","fBodyAccMag-mean","LAYING","3",-0.96552427516129
"192","fBodyAccMag-std","LAYING","3",-0.968350217419355
"193","fBodyBodyAccJerkMag-mean","LAYING","3",-0.975949597903226
"194","fBodyBodyAccJerkMag-std","LAYING","3",-0.975305377903226
"195","fBodyBodyGyroMag-mean","LAYING","3",-0.96458672483871
"196","fBodyBodyGyroMag-std","LAYING","3",-0.955441855806452
"197","fBodyBodyGyroJerkMag-mean","LAYING","3",-0.984278251290323
"198","fBodyBodyGyroJerkMag-std","LAYING","3",-0.982568158064516
"199","tBodyAcc-mean-X","LAYING","4",0.263559214981481
"200","tBodyAcc-mean-Y","LAYING","4",-0.0150031841055556
"201","tBodyAcc-mean-Z","LAYING","4",-0.110688150314815
"202","tBodyAcc-std-X","LAYING","4",-0.954193738888889
"203","tBodyAcc-std-Y","LAYING","4",-0.941714042407407
"204","tBodyAcc-std-Z","LAYING","4",-0.962667314814815
"205","tGravityAcc-mean-X","LAYING","4",-0.420664662222222
"206","tGravityAcc-mean-Y","LAYING","4",0.915165104259259
"207","tGravityAcc-mean-Z","LAYING","4",0.341531310555556
"208","tGravityAcc-std-X","LAYING","4",-0.921199965925926
"209","tGravityAcc-std-Y","LAYING","4",-0.969816635740741
"210","tGravityAcc-std-Z","LAYING","4",-0.976176608888889
"211","tBodyAccJerk-mean-X","LAYING","4",0.0934494217777778
"212","tBodyAccJerk-mean-Y","LAYING","4",0.00693313213968519
"213","tBodyAccJerk-mean-Z","LAYING","4",-0.00641054328740741
"214","tBodyAccJerk-std-X","LAYING","4",-0.978302781111111
"215","tBodyAccJerk-std-Y","LAYING","4",-0.942209488333333
"216","tBodyAccJerk-std-Z","LAYING","4",-0.978511984259259
"217","tBodyGyro-mean-X","LAYING","4",-0.00923156347222222
"218","tBodyGyro-mean-Y","LAYING","4",-0.0930128180759259
"219","tBodyGyro-mean-Z","LAYING","4",0.169720404092593
"220","tBodyGyro-std-X","LAYING","4",-0.973102422222222
"221","tBodyGyro-std-Y","LAYING","4",-0.961109291851852
"222","tBodyGyro-std-Z","LAYING","4",-0.962073755
"223","tBodyGyroJerk-mean-X","LAYING","4",-0.105019877685185
"224","tBodyGyroJerk-mean-Y","LAYING","4",-0.0381230432222222
"225","tBodyGyroJerk-mean-Z","LAYING","4",-0.0712156288333333
"226","tBodyGyroJerk-std-X","LAYING","4",-0.975103204259259
"227","tBodyGyroJerk-std-Y","LAYING","4",-0.986855629814815
"228","tBodyGyroJerk-std-Z","LAYING","4",-0.983965359814815
"229","tBodyAccMag-mean","LAYING","4",-0.954557603148148
"230","tBodyAccMag-std","LAYING","4",-0.931292216611111
"231","tGravityAccMag-mean","LAYING","4",-0.954557603148148
"232","tGravityAccMag-std","LAYING","4",-0.931292216611111
"233","tBodyAccJerkMag-mean","LAYING","4",-0.970095771666667
"234","tBodyAccJerkMag-std","LAYING","4",-0.960786430740741
"235","tBodyGyroMag-mean","LAYING","4",-0.930236462592593
"236","tBodyGyroMag-std","LAYING","4",-0.947031781666667
"237","tBodyGyroJerkMag-mean","LAYING","4",-0.985068502037037
"238","tBodyGyroJerkMag-std","LAYING","4",-0.982698213703704
"239","fBodyAcc-mean-X","LAYING","4",-0.958802077592593
"240","fBodyAcc-mean-Y","LAYING","4",-0.938883374444444
"241","fBodyAcc-mean-Z","LAYING","4",-0.967504278888889
"242","fBodyAcc-std-X","LAYING","4",-0.952464881481481
"243","fBodyAcc-std-Y","LAYING","4",-0.946380971111111
"244","fBodyAcc-std-Z","LAYING","4",-0.962154454259259
"245","fBodyAccJerk-mean-X","LAYING","4",-0.978542457407407
"246","fBodyAccJerk-mean-Y","LAYING","4",-0.943969987222222
"247","fBodyAccJerk-mean-Z","LAYING","4",-0.975383329444444
"248","fBodyAccJerk-std-X","LAYING","4",-0.980079292592593
"249","fBodyAccJerk-std-Y","LAYING","4",-0.944366881666667
"250","fBodyAccJerk-std-Z","LAYING","4",-0.980261236296296
"251","fBodyGyro-mean-X","LAYING","4",-0.967203736481482
"252","fBodyGyro-mean-Y","LAYING","4",-0.972187839074074
"253","fBodyGyro-mean-Z","LAYING","4",-0.961479262592593
"254","fBodyGyro-std-X","LAYING","4",-0.975094739444444
"255","fBodyGyro-std-Y","LAYING","4",-0.956182500185185
"256","fBodyGyro-std-Z","LAYING","4",-0.965807466666667
"257","fBodyAccMag-mean","LAYING","4",-0.939389701296296
"258","fBodyAccMag-std","LAYING","4",-0.937187975962963
"259","fBodyBodyAccJerkMag-mean","LAYING","4",-0.96228712537037
"260","fBodyBodyAccJerkMag-std","LAYING","4",-0.958037119259259
"261","fBodyBodyGyroMag-mean","LAYING","4",-0.961556660185185
"262","fBodyBodyGyroMag-std","LAYING","4",-0.947100325185185
"263","fBodyBodyGyroJerkMag-mean","LAYING","4",-0.983609073333333
"264","fBodyBodyGyroJerkMag-std","LAYING","4",-0.982543631666667
"265","tBodyAcc-mean-X","LAYING","5",0.278334325576923
"266","tBodyAcc-mean-Y","LAYING","5",-0.0183042123269231
"267","tBodyAcc-mean-Z","LAYING","5",-0.107937603673077
"268","tBodyAcc-std-X","LAYING","5",-0.965934509615385
"269","tBodyAcc-std-Y","LAYING","5",-0.969295613269231
"270","tBodyAcc-std-Z","LAYING","5",-0.968562516346154
"271","tGravityAcc-mean-X","LAYING","5",-0.483470597692308
"272","tGravityAcc-mean-Y","LAYING","5",0.954890346153846
"273","tGravityAcc-mean-Z","LAYING","5",0.263644691923077
"274","tGravityAcc-std-X","LAYING","5",-0.945695336153846
"275","tGravityAcc-std-Y","LAYING","5",-0.985964053846154
"276","tGravityAcc-std-Z","LAYING","5",-0.977076645
"277","tBodyAccJerk-mean-X","LAYING","5",0.0848164824230769
"278","tBodyAccJerk-mean-Y","LAYING","5",0.00747460829615385
"279","tBodyAccJerk-mean-Z","LAYING","5",-0.00304067159653846
"280","tBodyAccJerk-std-X","LAYING","5",-0.983307862115385
"281","tBodyAccJerk-std-Y","LAYING","5",-0.964560430961538
"282","tBodyAccJerk-std-Z","LAYING","5",-0.985419368461538
"283","tBodyGyro-mean-X","LAYING","5",-0.0218935013501923
"284","tBodyGyro-mean-Y","LAYING","5",-0.0798709596153846
"285","tBodyGyro-mean-Z","LAYING","5",0.159894366942308
"286","tBodyGyro-std-X","LAYING","5",-0.979498706538461
"287","tBodyGyro-std-Y","LAYING","5",-0.977427370576923
"288","tBodyGyro-std-Z","LAYING","5",-0.960583776923077
"289","tBodyGyroJerk-mean-X","LAYING","5",-0.102114125
"290","tBodyGyroJerk-mean-Y","LAYING","5",-0.0404446925288462
"291","tBodyGyroJerk-mean-Z","LAYING","5",-0.07083096875
"292","tBodyGyroJerk-std-X","LAYING","5",-0.983422257692308
"293","tBodyGyroJerk-std-Y","LAYING","5",-0.983759479230769
"294","tBodyGyroJerk-std-Z","LAYING","5",-0.989679592307692
"295","tBodyAccMag-mean","LAYING","5",-0.966777882884615
"296","tBodyAccMag-std","LAYING","5",-0.958612786346154
"297","tGravityAccMag-mean","LAYING","5",-0.966777882884615
"298","tGravityAccMag-std","LAYING","5",-0.958612786346154
"299","tBodyAccJerkMag-mean","LAYING","5",-0.980141253846154
"300","tBodyAccJerkMag-std","LAYING","5",-0.977477145384615
"301","tBodyGyroMag-mean","LAYING","5",-0.946938300576923
"302","tBodyGyroMag-std","LAYING","5",-0.958287921923077
"303","tBodyGyroJerkMag-mean","LAYING","5",-0.9864194225
"304","tBodyGyroJerkMag-std","LAYING","5",-0.98377138
"305","fBodyAcc-mean-X","LAYING","5",-0.968741678461538
"306","fBodyAcc-mean-Y","LAYING","5",-0.965419520961538
"307","fBodyAcc-mean-Z","LAYING","5",-0.977007724615385
"308","fBodyAcc-std-X","LAYING","5",-0.964953893653846
"309","fBodyAcc-std-Y","LAYING","5",-0.972909186730769
"310","fBodyAcc-std-Z","LAYING","5",-0.965882191153846
"311","fBodyAccJerk-mean-X","LAYING","5",-0.982689657115385
"312","fBodyAccJerk-mean-Y","LAYING","5",-0.965328566153846
"313","fBodyAccJerk-mean-Z","LAYING","5",-0.983250309423077
"314","fBodyAccJerk-std-X","LAYING","5",-0.985625270384615
"315","fBodyAccJerk-std-Y","LAYING","5",-0.96624258
"316","fBodyAccJerk-std-Z","LAYING","5",-0.986135599038461
"317","fBodyGyro-mean-X","LAYING","5",-0.975797491730769
"318","fBodyGyro-mean-Y","LAYING","5",-0.978249645769231
"319","fBodyGyro-mean-Z","LAYING","5",-0.963202948461538
"320","fBodyGyro-std-X","LAYING","5",-0.980705769807692
"321","fBodyGyro-std-Y","LAYING","5",-0.977257800961538
"322","fBodyGyro-std-Z","LAYING","5",-0.963305738076923
"323","fBodyAccMag-mean","LAYING","5",-0.962234984038462
"324","fBodyAccMag-std","LAYING","5",-0.962525369423077
"325","fBodyBodyAccJerkMag-mean","LAYING","5",-0.977356379807692
"326","fBodyBodyAccJerkMag-std","LAYING","5",-0.976381934807692
"327","fBodyBodyGyroMag-mean","LAYING","5",-0.968257068846154
"328","fBodyBodyGyroMag-std","LAYING","5",-0.959263063269231
"329","fBodyBodyGyroJerkMag-mean","LAYING","5",-0.984618025769231
"330","fBodyBodyGyroJerkMag-std","LAYING","5",-0.983434493076923
"331","tBodyAcc-mean-X","LAYING","6",0.248656520140351
"332","tBodyAcc-mean-Y","LAYING","6",-0.0102529170561404
"333","tBodyAcc-mean-Z","LAYING","6",-0.133119570368421
"334","tBodyAcc-std-X","LAYING","6",-0.934049422052632
"335","tBodyAcc-std-Y","LAYING","6",-0.924644826385965
"336","tBodyAcc-std-Z","LAYING","6",-0.925216100350877
"337","tGravityAcc-mean-X","LAYING","6",-0.47670987877193
"338","tGravityAcc-mean-Y","LAYING","6",0.956593814210526
"339","tGravityAcc-mean-Z","LAYING","6",0.175867709021053
"340","tGravityAcc-std-X","LAYING","6",-0.887746310350877
"341","tGravityAcc-std-Y","LAYING","6",-0.959161956491228
"342","tGravityAcc-std-Z","LAYING","6",-0.928130738421053
"343","tBodyAccJerk-mean-X","LAYING","6",0.0963481955263158
"344","tBodyAccJerk-mean-Y","LAYING","6",-0.00114529240245614
"345","tBodyAccJerk-mean-Z","LAYING","6",0.00328817288070175
"346","tBodyAccJerk-std-X","LAYING","6",-0.966341054736842
"347","tBodyAccJerk-std-Y","LAYING","6",-0.933674494385965
"348","tBodyAccJerk-std-Z","LAYING","6",-0.959646055263158
"349","tBodyGyro-mean-X","LAYING","6",-0.0079605026754386
"350","tBodyGyro-mean-Y","LAYING","6",-0.107218315054386
"351","tBodyGyro-mean-Z","LAYING","6",0.179102058245614
"352","tBodyGyro-std-X","LAYING","6",-0.955378225087719
"353","tBodyGyro-std-Y","LAYING","6",-0.943634949473684
"354","tBodyGyro-std-Z","LAYING","6",-0.939141878596491
"355","tBodyGyroJerk-mean-X","LAYING","6",-0.111267284631579
"356","tBodyGyroJerk-mean-Y","LAYING","6",-0.0424104289992982
"357","tBodyGyroJerk-mean-Z","LAYING","6",-0.0717774743859649
"358","tBodyGyroJerk-std-X","LAYING","6",-0.939611608245614
"359","tBodyGyroJerk-std-Y","LAYING","6",-0.958628819649123
"360","tBodyGyroJerk-std-Z","LAYING","6",-0.959579071578947
"361","tBodyAccMag-mean","LAYING","6",-0.918878850824561
"362","tBodyAccMag-std","LAYING","6",-0.897326245964912
"363","tGravityAccMag-mean","LAYING","6",-0.918878850824561
"364","tGravityAccMag-std","LAYING","6",-0.897326245964912
"365","tBodyAccJerkMag-mean","LAYING","6",-0.954750504912281
"366","tBodyAccJerkMag-std","LAYING","6",-0.950341934385965
"367","tBodyGyroMag-mean","LAYING","6",-0.908980174736842
"368","tBodyGyroMag-std","LAYING","6",-0.920914497017544
"369","tBodyGyroJerkMag-mean","LAYING","6",-0.955645738245614
"370","tBodyGyroJerkMag-std","LAYING","6",-0.953157001578947
"371","fBodyAcc-mean-X","LAYING","6",-0.939114254210526
"372","fBodyAcc-mean-Y","LAYING","6",-0.923706791403509
"373","fBodyAcc-mean-Z","LAYING","6",-0.938044912280702
"374","fBodyAcc-std-X","LAYING","6",-0.932462941461404
"375","fBodyAcc-std-Y","LAYING","6",-0.929711219929825
"376","fBodyAcc-std-Z","LAYING","6",-0.924004748421053
"377","fBodyAccJerk-mean-X","LAYING","6",-0.967072436842105
"378","fBodyAccJerk-mean-Y","LAYING","6",-0.936043420175439
"379","fBodyAccJerk-mean-Z","LAYING","6",-0.954425844736842
"380","fBodyAccJerk-std-X","LAYING","6",-0.968619159473684
"381","fBodyAccJerk-std-Y","LAYING","6",-0.935717452807018
"382","fBodyAccJerk-std-Z","LAYING","6",-0.963567540877193
"383","fBodyGyro-mean-X","LAYING","6",-0.935439769649123
"384","fBodyGyro-mean-Y","LAYING","6",-0.941771544385965
"385","fBodyGyro-mean-Z","LAYING","6",-0.932636612807018
"386","fBodyGyro-std-X","LAYING","6",-0.962164978596491
"387","fBodyGyro-std-Y","LAYING","6",-0.945365097894737
"388","fBodyGyro-std-Z","LAYING","6",-0.947136774385965
"389","fBodyAccMag-mean","LAYING","6",-0.91235165222807
"390","fBodyAccMag-std","LAYING","6",-0.905373979824561
"391","fBodyBodyAccJerkMag-mean","LAYING","6",-0.948655471052632
"392","fBodyBodyAccJerkMag-std","LAYING","6",-0.951552664035088
"393","fBodyBodyGyroMag-mean","LAYING","6",-0.930153639473684
"394","fBodyBodyGyroMag-std","LAYING","6",-0.928694890175439
"395","fBodyBodyGyroJerkMag-mean","LAYING","6",-0.953695957368421
"396","fBodyBodyGyroJerkMag-std","LAYING","6",-0.955504654561404
"397","tBodyAcc-mean-X","LAYING","7",0.250176694038462
"398","tBodyAcc-mean-Y","LAYING","7",-0.0204411516884615
"399","tBodyAcc-mean-Z","LAYING","7",-0.101361036576923
"400","tBodyAcc-std-X","LAYING","7",-0.93651361
"401","tBodyAcc-std-Y","LAYING","7",-0.926262668653846
"402","tBodyAcc-std-Z","LAYING","7",-0.952978365961539
"403","tGravityAcc-mean-X","LAYING","7",-0.502814250576923
"404","tGravityAcc-mean-Y","LAYING","7",0.393444278076923
"405","tGravityAcc-mean-Z","LAYING","7",0.907537823461538
"406","tGravityAcc-std-X","LAYING","7",-0.914221270096154
"407","tGravityAcc-std-Y","LAYING","7",-0.955543549230769
"408","tGravityAcc-std-Z","LAYING","7",-0.961908984423077
"409","tBodyAccJerk-mean-X","LAYING","7",0.0968904018076923
"410","tBodyAccJerk-mean-Y","LAYING","7",0.0250624183634615
"411","tBodyAccJerk-mean-Z","LAYING","7",-0.0131653918205769
"412","tBodyAccJerk-std-X","LAYING","7",-0.980977756153846
"413","tBodyAccJerk-std-Y","LAYING","7",-0.973093160192308
"414","tBodyAccJerk-std-Z","LAYING","7",-0.972983064230769
"415","tBodyGyro-mean-X","LAYING","7",-0.00282641913096154
"416","tBodyGyro-mean-Y","LAYING","7",-0.133605695057692
"417","tBodyGyro-mean-Z","LAYING","7",0.155920029769231
"418","tBodyGyro-std-X","LAYING","7",-0.9601268225
"419","tBodyGyro-std-Y","LAYING","7",-0.945071935384615
"420","tBodyGyro-std-Z","LAYING","7",-0.955294890576923
"421","tBodyGyroJerk-mean-X","LAYING","7",-0.105944243484615
"422","tBodyGyroJerk-mean-Y","LAYING","7",-0.0358897425826923
"423","tBodyGyroJerk-mean-Z","LAYING","7",-0.0671901794615385
"424","tBodyGyroJerk-std-X","LAYING","7",-0.9738372325
"425","tBodyGyroJerk-std-Y","LAYING","7",-0.976483727307692
